"","Assemblage","t","Method","Order.q","SC","qD","qD.LCL","qD.UCL","t_Over","Method_Over","SC_Over","qD_Over","qD.LCL_Over","qD.UCL_Over","t_Under","Method_Under","SC_Under","qD_Under","qD.LCL_Under","qD.UCL_Under"
"14","Thomas-Chapais",3.86920663682917,"Rarefaction",1,0.782799768433621,9.89344258170026,5.5338678816312,14.2530172817693,2.98981335563884,"Rarefaction",0.715898496108634,8.95101545608221,7.0748806219659,10.8271502901985,7.0009569170595,"Extrapolation",0.6343,9.90969541982059,0,21.7752235473251
"15","Thomas-Chapais",3.86920663682917,"Rarefaction",2,0.782799768433621,8.77262360190748,5.98412667271685,11.5611205310981,2.98981335563884,"Rarefaction",0.715898496108634,8.17037863467463,6.63317390077191,9.70758336857734,7.0009569170595,"Extrapolation",0.6343,8.32109091712333,2.95704657768007,13.6851352565666
"16","Bois-de-Liesse",7.53197015671697,"Rarefaction",0,0.764705882352941,19.9906235597023,5.05949724995324,34.9217498694513,9.00166890926801,"Extrapolation",0.7159,27.0028777777778,14.2567227823672,39.7490327731883,4.58359213500126,"Rarefaction",0.62962962962963,12.6115597006689,0,32.5734752244473
"17","Bois-de-Liesse",7.53197015671697,"Rarefaction",1,0.764705882352941,15.0662071418915,9.0008933481531,21.13152093563,9.00166890926801,"Extrapolation",0.7159,21.1454515907259,13.2619221488928,29.0289810325589,4.58359213500126,"Rarefaction",0.62962962962963,10.7979349848428,0,23.1959061392897
"18","Bois-de-Liesse",7.53197015671697,"Rarefaction",2,0.764705882352941,11.6620934865642,8.56769323399087,14.7564937391376,9.00166890926801,"Extrapolation",0.7159,16.4275818538467,11.4006440148746,21.4545196928187,4.58359213500126,"Rarefaction",0.62962962962963,9.26341896906749,3.6769521351687,14.8498858029663
"19","Cap-Saint-Jacques",4.57111997916018,"Rarefaction",0,0.782800649728786,14.1927534938399,9.15985903085347,19.2256479568263,4.00005511603773,"Rarefaction",0.726193100763702,10.200065089416,7.58985260930016,12.8102775695318,2.99999940525599,"Rarefaction",0.615789393863295,7.24999897902279,3.51244139066098,10.9875565673846
"20","Cap-Saint-Jacques",4.57111997916018,"Rarefaction",1,0.782800649728786,12.1925296166756,9.00164991892937,15.3834093144219,4.00005511603773,"Rarefaction",0.726193100763702,9.05239427806133,7.05122474935402,11.0535638067686,2.99999940525599,"Rarefaction",0.615789393863295,6.7848825442572,3.67782208177883,9.89194300673557
"21","Cap-Saint-Jacques",4.57111997916018,"Rarefaction",2,0.782800649728786,10.6450579894875,8.37426146725694,12.915854511718,4.00005511603773,"Rarefaction",0.726193100763702,8.00003149487871,6.44435621017358,9.55570677958383,2.99999940525599,"Rarefaction",0.615789393863295,6.31118806468611,3.66675606922504,8.95562006014718
"22","Coulée-Grou",6.40885291914376,"Rarefaction",0,0.829787234042553,22.1555041702054,17.1719472100289,27.1390611303819,5.7488271894593,"Rarefaction",0.715898633224846,19.149649523658,14.5401266680166,23.7591723792994,1.14595648701149,"Rarefaction",0.545454545454545,4.05588396536397,0,8.32867099400135
"23","Coulée-Grou",6.40885291914376,"Rarefaction",1,0.829787234042553,19.6502385976287,16.3262422631225,22.9742349321348,5.7488271894593,"Rarefaction",0.715898633224846,16.9816017346941,13.6659910756184,20.2972123937699,1.14595648701149,"Rarefaction",0.545454545454545,4.01747659381552,0.153623716919863,7.88132947071117
"24","Coulée-Grou",6.40885291914376,"Rarefaction",2,0.829787234042553,17.2193498311654,14.7905553301245,19.6481443322063,5.7488271894593,"Rarefaction",0.715898633224846,14.8190180526917,12.1201088923197,17.5179272130638,1.14595648701149,"Rarefaction",0.545454545454545,3.97248025850026,0.67893460628276,7.26602591071776
"25","Île-Bizard",4.07918231765115,"Rarefaction",0,0.782799618856128,16.6300852361412,13.4269826809756,19.8331877913067,5.77666710107334,"Rarefaction",0.715900253550842,16.2055297659298,8.42587593069325,23.9851836011663,1.18991390967339,"Rarefaction",0.634300425393498,4.16083642837944,1.7630468995565,6.55862595720238
"26","Île-Bizard",4.07918231765115,"Rarefaction",1,0.782799618856128,14.5315181558803,12.186373591072,16.8766627206885,5.77666710107334,"Rarefaction",0.715900253550842,14.0819307894176,9.29911897586846,18.8647426029668,1.18991390967339,"Rarefaction",0.634300425393498,4.09892668486606,2.15230721698156,6.04554615275057
"27","Île-Bizard",4.07918231765115,"Rarefaction",2,0.782799618856128,12.8315789902959,11.0573413999092,14.6058165806825,5.77666710107334,"Rarefaction",0.715900253550842,12.2530223477704,9.04938860427217,15.4566560912685,1.18991390967339,"Rarefaction",0.634300425393498,4.04055761891963,2.41924784855616,5.66186738928309
"28","Jean-Drapeau",3.04850300156866,"Rarefaction",0,0.782800114345473,18.2688323538432,14.6623496870942,21.8753150205923,3.14366296732666,"Rarefaction",0.715899876688666,11.5633821067655,6.78650488039414,16.3402593331369,3.03153202811434,"Rarefaction",0.634299631195363,8.66584515283636,5.77970270805052,11.5519875976222
"29","Jean-Drapeau",3.04850300156866,"Rarefaction",1,0.782800114345473,16.2164012097697,13.5799735212374,18.852828898302,3.14366296732666,"Rarefaction",0.715899876688666,10.2654256691656,6.57684668953568,13.9540046487955,3.03153202811434,"Rarefaction",0.634299631195363,7.9671202242126,5.49359649501083,10.4406439534144
"30","Jean-Drapeau",3.04850300156866,"Rarefaction",2,0.782800114345473,14.6498982228298,12.6197701212404,16.6800263244193,3.14366296732666,"Rarefaction",0.715899876688666,9.19143101802799,6.26407591373549,12.1187861223205,3.03153202811434,"Rarefaction",0.634299631195363,7.28647733266703,5.18835588673139,9.38459877860267
"31","L'Anse-à-l'Orme",5.68112212567535,"Rarefaction",0,0.782800126773129,18.6255461468785,9.03554268671131,28.2155496070457,7.8776438837441,"Rarefaction",0.723404255319149,21.3686226001646,10.6706400368275,32.0666051635017,2.94902313951895,"Rarefaction",0.634300425579579,15.1724306026577,12.2660823104469,18.0787788948685
"32","L'Anse-à-l'Orme",5.68112212567535,"Rarefaction",1,0.782800126773129,15.7140832519023,10.6062579218344,20.8219085819702,7.8776438837441,"Rarefaction",0.723404255319149,17.4421508808739,10.9022218077261,23.9820799540217,2.94902313951895,"Rarefaction",0.634300425579579,14.0487005407367,11.6618253052744,16.435575776199
"33","L'Anse-à-l'Orme",5.68112212567535,"Rarefaction",2,0.782800126773129,13.5480662400793,10.2421890332429,16.8539434469157,7.8776438837441,"Rarefaction",0.723404255319149,14.3502895111889,10.3610303837804,18.3395486385974,2.94902313951895,"Rarefaction",0.634300425579579,12.9292029780542,10.9573999639832,14.9010059921253
